run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","00904-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00904-01 (Regehr Residence, Langley)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","5","2","1","0","3","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"4.8409351",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","00966-06","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","0","0","0","0","0","0","0","False",,,,,,,,"0","the stick file of another job: byte-identical to 00904-01's (01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf)",,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01195-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)\05 Stickfile\01195-01 - 402 W Pender - Struct Stickfile - 2021-12-21.pdf","2021-12-21","True","1871282","2","0","0","0","2","0","0","False","no plan sheet with structure on it",,,,,,,"9.1502238",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01323-03","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01323-03 (731 Union St New Staircase)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","0","0","0","0","0","0","0","False",,,,,,,,"0","the stick file of another job: byte-identical to 00904-01's (01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf)",,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01375-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01375-01 (Reimer Residence, 6526 Bradner Rd, Abbotsford)\05 Stickfile\01375-01 Struct Stickfile 2018-08-10.pdf","2018-08-10","True","5856307","12","4","4","0","8","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"15.3398952",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01379-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\215369-Stickfile.pdf","2018-02-08","False","38541294","272","217","503","0","55","0","15","True",,"123","56","6080","4473","18","6","820.0398775",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01389-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01389-01 (1146 Garden Drive, Vancouver)\05 Stickfile\01389 Struc Stickfile 2019-07-04.pdf","2019-07-04","True","4965404","10","5","5","0","5","0","0","True",,"0","3","83","119","4","2","8.7336484",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01554-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01554-01 (Craft Salt Building - New Stair & Platform)\05 Stickfile\01554 Struct Stickfile 2022-01-24.pdf","2022-01-24","True","1074074","4","2","2","0","2","0","0","True",,"0","1","0","0","0","0","3.3379043",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01569-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01569-01 (216th Street & 83rd - Williams Pond Deck)\05 Stickfile\01569-Stickfile-2022-11-01.pdf","2022-11-01","True","921628","2","1","1","0","1","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"0.9846342",,,,,,,,,,,,
"42308806-296c-4f5e-9de5-f1d0cb9811f3","2026-09-14T17:24:09.1892210Z","2026-09-14T17:22:20.4635302Z","01589-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01589-01 (629 East 12th Street North Vancouver)\05 Stickfile\01589-629 E 12th (Struct Stickfile) 2022-08-08.pdf","2022-08-08","True","3439539","9","3","3","0","6","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"5.188999",,,,,,,,,,,,
