run_id,job,page,sheet_number,sheet_type,title,level,scale_note,scale_denominator,slabs,columns,walls,lines,dxf_files,self_check,placed,storeys,flags,failure
"8c2e87fe-8797-4830-8f25-48318e168fb0","01375-01","8",,"plan","S-5FOUNDATION PLAN",,,"96","67","30","52","3779","01375-01 Struct Stickfile 2018-08-10-p08_1_S-5FOUNDATION PLAN.dxf",,"False","P1","44 edge(s) were drawn more than once on the same layer family and were read once.; slab edges: an outline of 3 sq ft was completed through 5 segment(s) on BEAM, KOR_V-WALL — layer(s) this tool does not model. Its ends meet those segments exactly, so the edge is continuous on the drawing even though it is not continuous on one layer. Nothing was bridged or invented; check the edge.; slab edges: 12 outline(s) would not close (561458 units of edge ignored).; KOR_C_SLABEDG: a slab outline crossed itself and was read as 0 separate ring(s) rather than one ring through its own edge ().; KOR_C_SLABEDG: a ring of 3,770 sq ft inside a floor of 3,834 sq ft was NOT cut as an opening — 100% of its edge lies on the floor's own edge, so it is that edge read a second time rather than a hole. A hole has floor on every side of it.; a floor plate of 116 sq ft lies over one of 200 sq ft already read on this storey and was not modelled — two readings of one floor, not two floors. The larger is kept.; a floor plate of 8 sq ft lies over one of 200 sq ft already read on this storey and was not modelled — two readings of one floor, not two floors. The larger is kept.; KOR_C_SLABEDG: closed ring of 225 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 200 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 161 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 116 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 75 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 25 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; 1 element(s) under 1219"" long and joined to no other wall were modelled as columns. Short faces that form part of a core stay walls.",
"8c2e87fe-8797-4830-8f25-48318e168fb0","01375-01","9",,"plan","S-6BASEMENT FLOOR PLAN  SHOWING MAIN FLOOR  FRAMING OVER","5",,"96","72","28","56","5458","01375-01 Struct Stickfile 2018-08-10-p09_1_S-6BASEMENT FLOOR PLAN SHOWING MAIN FLOOR FRAMING OVER.dxf",,"False","P1","51 edge(s) were drawn more than once on the same layer family and were read once.; slab edges: an outline of 3 sq ft was completed through 5 segment(s) on BEAM, KOR_V-WALL — layer(s) this tool does not model. Its ends meet those segments exactly, so the edge is continuous on the drawing even though it is not continuous on one layer. Nothing was bridged or invented; check the edge.; slab edges: 14 outline(s) would not close (518263 units of edge ignored).; KOR_C_SLABEDG: a slab outline crossed itself and was read as 0 separate ring(s) rather than one ring through its own edge ().; KOR_C_SLABEDG: a ring of 3,770 sq ft inside a floor of 3,834 sq ft was NOT cut as an opening — 100% of its edge lies on the floor's own edge, so it is that edge read a second time rather than a hole. A hole has floor on every side of it.; KOR_C_SLABEDG: an opening of 183 sq ft cut from a floor of 4,654 sq ft, its edge 7856 in inside — check it is a hole and not the inner face of the edge.; KOR_C_SLABEDG: closed ring of 316 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 225 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 207 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 112 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 25 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; 1 element(s) under 1219"" long and joined to no other wall were modelled as columns. Short faces that form part of a core stay walls.",
"8c2e87fe-8797-4830-8f25-48318e168fb0","01375-01","10",,"plan","S-7MAIN FLOOR PLAN  SHOWING 2ND FLOOR  FRAMING OVER",,,"96","55","100","81","5749","01375-01 Struct Stickfile 2018-08-10-p10_1_S-7MAIN FLOOR PLAN SHOWING 2ND FLOOR FRAMING OVER.dxf",,"False","L1","32 edge(s) were drawn more than once on the same layer family and were read once.; slab edges: an outline of 48 sq ft was completed through 5 segment(s) on BEAM, KOR_V-WALL — layer(s) this tool does not model. Its ends meet those segments exactly, so the edge is continuous on the drawing even though it is not continuous on one layer. Nothing was bridged or invented; check the edge.; slab edges: 7 outline(s) would not close (117286 units of edge ignored).; KOR_C_SLABEDG: a slab outline crossed itself and was read as 0 separate ring(s) rather than one ring through its own edge ().; walls: 6 outline(s) would not close; 5 wall panel(s) read from them anyway (40080 units of edge).; KOR_C_SLABEDG: a ring of 3,770 sq ft inside a floor of 3,834 sq ft was NOT cut as an opening — 100% of its edge lies on the floor's own edge, so it is that edge read a second time rather than a hole. A hole has floor on every side of it.; KOR_C_SLABEDG: an opening of 109 sq ft cut from a floor of 7,500 sq ft, its edge 9955 in inside — check it is a hole and not the inner face of the edge.; KOR_C_SLABEDG: an opening of 26 sq ft cut from a floor of 7,500 sq ft, its edge 10596 in inside — check it is a hole and not the inner face of the edge.; KOR_C_SLABEDG: an opening of 22 sq ft cut from a floor of 7,500 sq ft, its edge 10652 in inside — check it is a hole and not the inner face of the edge.; KOR_C_SLABEDG: closed ring of 135 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.; KOR_C_SLABEDG: closed ring of 24 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.",
"8c2e87fe-8797-4830-8f25-48318e168fb0","01375-01","11",,"plan","S-8UPPER FLOOR PLAN  SHOWING ROOF  FRAMING OVER",,,"96","16","51","41","3667","01375-01 Struct Stickfile 2018-08-10-p11_1_S-8UPPER FLOOR PLAN SHOWING ROOF FRAMING OVER.dxf",,"False","L2","4 edge(s) were drawn more than once on the same layer family and were read once.; walls: 2 outline(s) would not close; 8 wall panel(s) read from them anyway (82774 units of edge).; KOR_C_SLABEDG: a ring of 3,770 sq ft inside a floor of 3,834 sq ft was NOT cut as an opening — 100% of its edge lies on the floor's own edge, so it is that edge read a second time rather than a hole. A hole has floor on every side of it.",
"8c2e87fe-8797-4830-8f25-48318e168fb0","01375-01","12",,"other","S-9POP UP ROOF FRAMING",,,"96","17","19","3","2550",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","1",,"unknown","S0.00-DATEDRAWN",,,"96","0","6","6","5533",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","2","S100","plan","S100-TITLE SHEET",,,"96","3","5","2","15309","S100_1_LEVEL 20 OVERALL PLAN.dxf | S100_2_LEVEL 20 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_3_LEVEL 20 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_4_LEVEL 21 OVERALL PLAN.dxf | S100_5_LEVEL 21 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_6_LEVEL 21 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_7_LEVEL 22 OVERALL PLAN.dxf | S100_8_LEVEL 22 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_9_LEVEL 22 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_10_LEVEL 23 OVERALL PLAN.dxf | S100_11_LEVEL 23 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_12_LEVEL 23 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_13_LEVEL 24 OVERALL PLAN.dxf | S100_14_LEVEL 24 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_15_LEVEL 24 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_16_LEVEL 25 OVERALL PLAN.dxf | S100_17_LEVEL 25 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_18_LEVEL 25 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_19_LEVEL 26 OVERALL PLAN.dxf | S100_20_LEVEL 26 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_21_LEVEL 26 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_22_LEVEL 27 OVERALL PLAN.dxf | S100_23_LEVEL 27 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_24_LEVEL 27 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_25_LEVEL 28 OVERALL PLAN.dxf | S100_26_LEVEL 28 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_27_LEVEL 28 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_28_LEVEL 29 OVERALL PLAN.dxf | S100_29_LEVEL 29 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_30_LEVEL 29 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_31_LEVEL 30 OVERALL PLAN.dxf | S100_32_LEVEL 30 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_33_LEVEL 30 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_34_LEVEL 31 OVERALL PLAN.dxf | S100_35_LEVEL 31 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_36_LEVEL 31 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_37_LEVEL 32 OVERALL PLAN.dxf | S100_38_LEVEL 32 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_39_LEVEL 32 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_40_LEVEL 33 OVERALL PLAN.dxf | S100_41_LEVEL 33 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_42_LEVEL 33 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_43_LEVEL 34 OVERALL PLAN.dxf | S100_44_LEVEL 34 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_45_LEVEL 34 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_46_LEVEL 35 OVERALL PLAN.dxf | S100_47_LEVEL 35 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_48_LEVEL 35 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_49_LEVEL 36 OVERALL PLAN.dxf | S100_50_LEVEL 36 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_51_LEVEL 36 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_52_LEVEL 37 OVERALL PLAN.dxf | S100_53_LEVEL 37 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_54_LEVEL 37 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_55_LEVEL 38 OVERALL PLAN.dxf | S100_56_LEVEL 38 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_57_LEVEL 38 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_58_LEVEL 39 OVERALL PLAN.dxf | S100_59_LEVEL 39 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_60_LEVEL 39 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_61_LEVEL 40 OVERALL PLAN.dxf | S100_62_LEVEL 40 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_63_LEVEL 40 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_64_LEVEL 41 OVERALL PLAN.dxf | S100_65_LEVEL 41 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_66_LEVEL 41 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_67_LEVEL 42 OVERALL PLAN.dxf | S100_68_LEVEL 42 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_69_LEVEL 42 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_70_LEVEL 43 OVERALL PLAN.dxf | S100_71_LEVEL 43 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_72_LEVEL 43 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_73_LEVEL 44 OVERALL PLAN.dxf | S100_74_LEVEL 44 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_75_LEVEL 44 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_76_LEVEL 45 OVERALL PLAN.dxf | S100_77_LEVEL 45 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_78_LEVEL 45 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_79_LEVEL 46 AMENITY FLOOR OVERALL PLAN.dxf | S100_80_LEVEL 46 AMENITY FLOOR PLAN A EAST TOWER.dxf | S100_81_LEVEL 46 AMENITY FLOOR PLAN B WEST TOWER.dxf | S100_82_LEVEL 47 OVERALL PLAN.dxf | S100_83_LEVEL 47 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_84_LEVEL 47 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_85_LEVEL 48 OVERALL PLAN.dxf | S100_86_LEVEL 48 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_87_LEVEL 48 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_88_MECH ROOF OVERALL PLAN.dxf | S100_89_MECH ROOF FLOOR PLAN PLAN A EAST TOWER.dxf | S100_90_MECH ROOF FLOOR PLAN PLAN B WEST TOWER.dxf | S100_91_LEVEL P5 FOUNDATION OVERALL PLAN.dxf | S100_92_LEVEL P5 FOUNDATION CONCRETE OUTLINE PLAN A.dxf | S100_93_LEVEL P5 FOUNDATION REINFORCING PLAN A.dxf | S100_94_LEVEL P5 FOUNDATION CONCRETE OUTLINE PLAN B.dxf | S100_95_LEVEL P5 FOUNDATION REINFORCING PLAN B.dxf | S100_96_LEVEL P5 FOUNDATION STIRRUP PLAN.dxf | S100_97_LEVEL P4 OVERALL PLAN.dxf | S100_98_LEVEL P4 CONCRETE OUTLINE PLAN A.dxf | S100_99_LEVEL P4 REINFORCING PLAN A.dxf | S100_100_LEVEL P4 CONCRETE OUTLINE PLAN B.dxf | S100_101_LEVEL P4 REINFORCING PLAN B.dxf | S100_102_LEVEL P3 OVERALL PLAN.dxf | S100_103_LEVEL P3 CONCRETE OUTLINE PLAN A.dxf | S100_104_LEVEL P3 REINFORCING PLAN A.dxf | S100_105_LEVEL P3 CONCRETE OUTLINE PLAN B.dxf | S100_106_LEVEL P3 REINFORCING PLAN B.dxf | S100_107_LEVEL P2 OVERALL PLAN.dxf | S100_108_LEVEL P2 CONCRETE OUTLINE PLAN A.dxf | S100_109_LEVEL P2 REINFORCING PLAN A.dxf | S100_110_LEVEL P2 CONCRETE OUTLINE PLAN B.dxf | S100_111_LEVEL P2 REINFORCING PLAN B.dxf | S100_112_LEVEL P1 OVERALL PLAN.dxf | S100_113_LEVEL P1 CONCRETE OUTLINE PLAN A.dxf | S100_114_LEVEL P1 REINFORCING PLAN A.dxf | S100_115_LEVEL P1 CONCRETE OUTLINE PLAN B.dxf | S100_116_LEVEL P1 REINFORCING PLAN B.dxf | S100_117_LEVEL P1 MEZZANINE OVERALL PLAN.dxf | S100_118_LEVEL P1 MEZZANINE CONCRETE OUTLINE PLAN B.dxf | S100_119_LEVEL P1 MEZZANINE REINFORCING PLAN B.dxf | S100_120_LEVEL 1 OVERALL PLAN.dxf | S100_121_LEVEL 1 CONCRETE OUTLINE PLAN A.dxf | S100_122_LEVEL 1 REINFORCING PLAN A.dxf | S100_123_LEVEL 1 CONCRETE OUTLINE PLAN B.dxf | S100_124_LEVEL 1 REINFORCING PLAN B.dxf | S100_125_LEVEL 1 CONCRETE OUTLINE PLAN C.dxf | S100_126_LEVEL 1 REINFORCING PLAN C.dxf | S100_127_LEVEL 1 STIRRUP PLAN.dxf | S100_128_LEVEL 1 MEZZANINE OVERALL PLAN.dxf | S100_129_LEVEL 1 MEZZANINE CONCRETE OUTLINE PLAN A.dxf | S100_130_LEVEL 1 MEZZANINE REINFORCING PLAN A.dxf | S100_131_LEVEL 1 MEZZANINE CONCRETE OUTLINE PLAN B.dxf | S100_132_LEVEL 1 MEZZANINE REINFORCING PLAN B.dxf | S100_133_LEVEL 1 MEZZANINE CONCRETE OUTLINE PLAN C.dxf | S100_134_LEVEL 1 MEZZANINE REINFORCING PLAN C.dxf | S100_135_LEVEL 2 OVERALL PLAN.dxf | S100_136_LEVEL 2 CONCRETE OUTLINE PLAN A.dxf | S100_137_LEVEL 2 REINFORCING PLAN A.dxf | S100_138_LEVEL 2 CONCRETE OUTLINE PLAN B.dxf | S100_139_LEVEL 2 REINFORCING PLAN B.dxf | S100_140_LEVEL 2 CONCRETE OUTLINE PLAN C.dxf | S100_141_LEVEL 2 REINFORCING PLAN C.dxf | S100_142_LEVEL 2 STIRRUP PLAN.dxf | S100_143_LEVEL 3 OVERALL PLAN.dxf | S100_144_LEVEL 3 CONCRETE OUTLINE PLAN A.dxf | S100_145_LEVEL 3 REINFORCING PLAN A.dxf | S100_146_LEVEL 3 CONCRETE OUTLIEN PLAN B.dxf | S100_147_LEVEL 3 REINFORCING PLAN B.dxf | S100_148_LEVEL 3 CONCRETE OUTLINE PLAN C.dxf | S100_149_LEVEL 3 REINFORCING PLAN C.dxf | S100_150_LEVEL 3 STIRRUP PLAN.dxf | S100_151_LEVEL 4 OVERALL PLAN.dxf | S100_152_LEVEL 4 CONCRETE OUTLINE PLAN A.dxf | S100_153_LEVEL 4 REINFORCING PLAN A.dxf | S100_154_LEVEL 4 CONCRETE OUTLINE PLAN B.dxf | S100_155_LEVEL 4 REINFORCING PLAN B.dxf | S100_156_LEVEL 4 CONCRETE OUTLINE PLAN C.dxf | S100_157_LEVEL 4 REINFORCING PLAN C.dxf | S100_158_LEVEL 4 STIRRUP PLAN.dxf | S100_159_LEVEL 5 OVERALL PLAN.dxf | S100_160_LEVEL 5 PLAN A EAST TOWER.dxf | S100_161_LEVEL 5 PLAN B WEST TOWER.dxf | S100_162_LEVEL 5 PLAN C.dxf | S100_163_LEVEL 6 OVERALL PLAN.dxf | S100_164_LEVEL 6 PLAN A EAST TOWER.dxf | S100_165_LEVEL 6 PLAN B WEST TOWER.dxf | S100_166_LEVEL 6 PLAN C.dxf | S100_167_LEVEL 7 OVERALL PLAN.dxf | S100_168_LEVEL 7 PLAN A EAST TOWER.dxf | S100_169_LEVEL 7 PLAN B WEST TOWER.dxf | S100_170_LEVEL 7 PLAN C.dxf | S100_171_LEVEL 8 OVERALL PLAN.dxf | S100_172_LEVEL 8 PLAN A EAST TOWER.dxf | S100_173_LEVEL 8 PLAN B WEST TOWER.dxf | S100_174_LEVEL 8 PLAN C.dxf | S100_175_LEVEL 9 OVERALL PLAN.dxf | S100_176_LEVEL 9 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_177_LEVEL 9 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_178_LEVEL 10 OVERALL PLAN.dxf | S100_179_LEVEL 10 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_180_LEVEL 10 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_181_LEVEL 11 OVERALL PLAN.dxf | S100_182_LEVEL 11 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_183_LEVEL 11 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_184_LEVEL 12 OVERALL PLAN.dxf | S100_185_LEVEL 12 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_186_LEVEL 12 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_187_LEVEL 13 OVERALL PLAN.dxf | S100_188_LEVEL 13 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_189_LEVEL 13 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_190_LEVEL 14 OVERALL PLAN.dxf | S100_191_LEVEL 14 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_192_LEVEL 14 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_193_LEVEL 15 OVERALL PLAN.dxf | S100_194_LEVEL 15 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_195_LEVEL 15 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_196_LEVEL 16 OVERALL PLAN.dxf | S100_197_LEVEL 16 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_198_LEVEL 16 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_199_LEVEL 17 OUTLINE PLAN.dxf | S100_200_LEVEL 17 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_201_LEVEL 17 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_202_LEVEL 18 OUTLINE PLAN.dxf | S100_203_LEVEL 18 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_204_LEVEL 18 FLOOR PLAN PLAN B WEST TOWER.dxf | S100_205_LEVEL 19 OUTLINE PLAN.dxf | S100_206_LEVEL 19 FLOOR PLAN PLAN A EAST TOWER.dxf | S100_207_LEVEL 19 FLOOR PLAN PLAN B WEST TOWER.dxf",,"False","L20","KOR_C_SLABEDG: an opening of 47 sq ft cut from a floor of 47 sq ft, its edge 4 in inside — MORE THAN HALF the floor, which is worth checking.; KOR_C_SLABEDG: a slab outline of 20 sq ft sits 345 in inside one of 47 sq ft — read as the two faces of one edge, not as a hole. The outer face is the floor.; KOR_C_SLABEDG: closed ring of 47 sq ft on its own — too small for a floor plate and not inside one, so it is linework rather than slab; not modelled.",
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","3",,"notes/general","S101-GENERAL NOTES",,,"96","1","0","0","30512",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","4",,"notes/general","S102-GENERAL NOTES",,,"96","0","0","0","35953",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","5",,"notes/general","S103-GENERAL NOTES",,,"96","0","0","0","17607",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","6","S111","notes/general","S111-LEGENDS AND ABBREVIATIONS",,,"96","0","1","0","248",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","7","S121","schedule","S121-SCHEDULES",,,"96","12","10","6","1780",,,,,,
"8c2e87fe-8797-4830-8f25-48318e168fb0","01379-01","8","S122","schedule","S122-SCHEDULES",,"12"" = 1'-0""","1","0","0","0","10",,,,,,
