run_id,run_at_utc,tool_built_at_utc,job,category,set_kind,pdf,issue_date,issue_date_from_name,bytes,pages,plan_sheets,sheets_written,sheets_failed,sheets_not_plan,assembly_cards,storeys_read,has_model,model_error,sheets_placed,storeys_built,walls,columns,floors,storeys_with_plate,seconds,error,yardstick,yardstick_storeys,shared_storeys,frame_from_grids,frame_support,ours_compared,ours_median_mm,ours_within_100,theirs_compared,theirs_within_100,yardstick_note
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","00904-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00904-01 (Regehr Residence, Langley)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","5","2","1","0","3","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"4.9732827",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","00966-06","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","5","2","1","0","3","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"4.117189",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01195-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)\05 Stickfile\01195-01 - 402 W Pender - Struct Stickfile - 2021-12-21.pdf","2021-12-21","True","1871282","2","0","0","0","2","0","0","False","no plan sheet with structure on it",,,,,,,"8.9885724",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01323-03","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01323-03 (731 Union St New Staircase)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf","2026-02-23","True","878068","5","2","1","0","3","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"3.4282096",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01375-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01375-01 (Reimer Residence, 6526 Bradner Rd, Abbotsford)\05 Stickfile\01375-01 Struct Stickfile 2018-08-10.pdf","2018-08-10","True","5856307","12","4","4","0","8","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"14.1317306",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01379-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\215369-Stickfile.pdf","2018-02-08","False","38541294","272","217","503","0","55","0","15","True",,"123","56","6080","4491","18","6","1180.5958292",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01389-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01389-01 (1146 Garden Drive, Vancouver)\05 Stickfile\01389 Struc Stickfile 2019-07-04.pdf","2019-07-04","True","4965404","10","5","5","0","5","0","0","True",,"0","3","0","248","2","2","11.1979396",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01554-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01554-01 (Craft Salt Building - New Stair & Platform)\05 Stickfile\01554 Struct Stickfile 2022-01-24.pdf","2022-01-24","True","1074074","4","2","2","0","2","0","0","True",,"0","1","0","0","0","0","4.7339768",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01569-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01569-01 (216th Street & 83rd - Williams Pond Deck)\05 Stickfile\01569-Stickfile-2022-11-01.pdf","2022-11-01","True","921628","2","1","1","0","1","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"2.0245854",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01589-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01589-01 (629 East 12th Street North Vancouver)\05 Stickfile\01589-629 E 12th (Struct Stickfile) 2022-08-08.pdf","2022-08-08","True","3439539","9","3","3","0","6","0","0","True",,"0","1","0","325","2","1","9.197334",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01599-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01599-01 (4851 Water Lane West Vancouver)\05 Stickfile\01599-01 2023-06-26 (4851 Water Lane) Struct Stickfile.pdf","2023-06-26","True","4162411","11","3","3","0","8","0","0","True",,"3","2","0","380","6","2","9.9912874",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01603-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01603-01 (Dempsey North Culvert Headwall)\05 Stickfile\01603-Dempsey North Culvert-Struct Stickfile-2022-07-05.pdf","2022-07-05","True","236230","2","1","1","0","1","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"3.0515474",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01631-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01631-01 (8644 River Rd Delta Rel)\05 Stickfile\01631 2023-09-06 8644 River Road Delta Stickfile.pdf","2023-09-06","True","72840","1","0","0","0","1","0","0","False","no plan sheet with structure on it",,,,,,,"0.1518144",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01653-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01653-STICKFILE-2023-06-29.pdf","2023-06-29","True","707850","8","6","6","0","2","0","0","True",,"0","6","0","853","2","2","3.8563034",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01666-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01666-01 2025-01-24 Village Museum Stickfile.pdf","2025-01-24","True","449910","3","2","2","0","1","0","0","True",,"0","1","0","115","2","1","5.4115048",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01668-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01668-01 (536 E 30 Ave Vancouver)\05 Stickfile\01668-01 2024-11-16 536 E 30TH Ave Stickfile.pdf","2024-11-16","True","4708606","12","5","5","0","7","0","0","True",,"4","3","0","0","0","0","10.2414339",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01669-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01669-01 (526 E 30th Ave Vancouver)\05 Stickfile\01669-01 2024-02-26 526 E 30TH Ave. Stickfile (KW comments).pdf","2024-02-26","True","1790242","13","6","6","0","7","0","0","True",,"5","3","0","0","0","0","11.39586",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01672-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01672-01 (25670 - 116th Ave, Maple Ridge)\05 Stickfile\01672-01 (25670 - 116TH Ave, Maple Ridge) Struct Stickfile 2025-03-27.pdf","2025-03-27","True","693450","8","1","2","0","7","0","0","True",,"0","1","0","60","0","0","5.1504968",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01715-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01715-01 (Sandman Guildford Surrey)\05 Stickfile\01715-01 2025-01-12 Sandman Guildford Lobby Reno Stickfile.pdf","2025-01-12","True","862328","1","1","1","0","0","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"0.0991869",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01721-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01721-01 (1880 Palmerston Ave West Vancouver)\05 Stickfile\01721-01 2025-01-02 1880 PALMERSTON- Stickfile.pdf","2025-01-02","True","1352055","9","3","3","0","6","0","0","True",,"3","2","0","22","2","2","11.5203372",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01726-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01726-01 (Hunter Residence Quadra Island BC)\05 Stickfile\01726-01 2025-03-21 - Hunter Residence - Stickfile.pdf","2025-03-21","True","911291","8","2","2","0","6","0","0","True",,"0","2","0","0","0","0","12.838933",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01728-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01728-01 (1139 Vanier Ave Coquitlam)\05 Stickfile\01728-01 2025-06-02 1139 Vanier Stickfile.pdf","2025-06-02","True","1465478","10","4","4","0","6","0","0","True",,"4","3","0","8","0","0","12.3044908",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01729-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01729-01 (1158 Dansey Ave Coquitlam)\05 Stickfile\01729-01_2025-11-24_1158 Dansey Ave-STICK FILE.pdf","2025-11-24","True","1512871","10","4","4","0","6","0","0","True",,"4","3","0","23","0","0","11.5846064",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01732-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01732-01 (498 South Harmony Rocky View AB)\05 Stickfile\01732-01 2025-06-26 498 South Harmony Stickfile.pdf","2025-06-26","True","904276","6","2","4","0","4","0","0","True",,"0","2","0","13","0","0","6.2203102",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01742-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01742-01 (272 Smugglers Cove Rd Bowen Island)\05 Stickfile\01742-01 2025-07-02 - 272 Smugglers Cove Rd Stickfile.pdf","2025-07-02","True","408838","2","2","2","0","0","0","0","False","no storeys: the elevations chained none and no plan names one",,,,,,,"0.9815395",,,,,,,,,,,,
"e1e33cc6-6220-4b85-9131-4aa1d48088d6","2026-09-14T00:46:48.1813440Z","2026-09-14T00:13:11.9229342Z","01744-01","01 Small Jobs","structural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01744-01 (1012 Corona Crescent Coquitlam)\05 Stickfile\01744-01 2025-11-20 1012 Corona Screscent Coquitlam Stickfile.pdf","2025-11-20","True","10448697","1","0","0","0","1","0","0","False","no plan sheet with structure on it",,,,,,,"3.772524",,,,,,,,,,,,
